央视频道,#genre#
☘️天津市,#genre#
天津卫视,http://61.136.172.236:9901/tsfile/live/0135_1.m3u8
天津卫视,http://112.46.85.60:8009/hls/44/index.m3u8
☘️港·澳·台,#genre#
凤凰中文,http://218.206.193.218:8888/hls/66/index.m3u8
环球电视,http://utv1.hqtvzb.com:9999/hls/world.m3u8
翡翠台,http://r.jdshipin.com/62WM7
TVB明珠台,http://r.jdshipin.com/jUx8K
☘️地方影视,#genre#
南宁影视娱乐,http://hls.nntv.cn/nnlive/YSYL_244.m3u8
其他,#genre#
CCTV-央视文化精品,http://207.56.13.146:81/cdnlive/ysjp.m3u8
CCTV女性时尚-,http://60.10.139.113:8801/hls/79/index.m3u8
CCTV高尔夫网球-,http://60.10.139.113:8801/hls/70/index.m3u8
CGTN,http://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8
CGTN,https://0472.org/hls/cgtn.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN纪录,https://english-livetx.cgtn.com/hls/yypdjlctzb_hd.m3u8
CGTN纪录,https://0472.org/hls/cgtnd.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
中国交通,http://drive.mxmy.net:8888/udp/239.3.1.188:8001
云南卫视-,http://60.10.139.113:8801/hls/51/index.m3u8
凤凰卫视,http://218.206.193.218:8888/hls/67/index.m3u8
北京卫视4K超高清,http://120.211.62.180:8000/hls/35/index.m3u8
宁夏卫视-,http://60.10.139.113:8801/hls/57/index.m3u8
山西卫视-,http://60.10.139.113:8801/hls/54/index.m3u8
拆弹专家1,https://vip.ffzy-online.com/20221015/719_80ff87c2/index.m3u8
拆弹专家2,https://vip.ffzy-online.com/20221015/722_e32c42bc/index.m3u8
江津新闻,http://222.179.155.21:1935/ch1.m3u8?zzhongqd
青海卫视-,http://60.10.139.113:8801/hls/56/index.m3u8
