======================================================================
IPTV 酒店源流量测试报告 (2026-03-30 10:05:09)
======================================================================
服务器 (IP:Port)             | 频道名称                 | 平均码率       | 稳定性
125.40.199.223:8092       | CCTV4中文国际            | 0.82   Mbps | 100%
125.42.148.11:9901        | 广东卫视                 | 0.73   Mbps | 100%
125.42.148.11:9901        | 东方卫视                 | 0.59   Mbps | 100%
125.44.166.249:8888       | 江苏卫视                 | 7.46   Mbps | 47%
125.44.166.249:8888       | CCTV14少儿             | 8.09   Mbps | 50%
125.46.176.226:60000      | 辽宁卫视                 | 8.56   Mbps | 81%
125.46.176.226:60000      | 东方卫视                 | 8.75   Mbps | 92%
125.46.176.226:60000      | 黑龙江卫视                | 8.75   Mbps | 86%
14.106.98.110:888         | 云南卫视                 | 5.0    Mbps | 91%
14.106.98.110:888         | CCTVNEWS             | 3.72   Mbps | 0%
14.106.98.110:888         | 河北卫视                 | 3.97   Mbps | 7%
14.106.98.48:888          | 陕西卫视                 | 0.93   Mbps | 100%
14.106.98.48:888          | CQTV时尚               | 0.52   Mbps | 100%
14.106.98.48:888          | 吉林卫视                 | 0.37   Mbps | 100%
144.0.23.162:8085         | 1                    | 6.14   Mbps | 0%
144.0.23.162:8085         | 18                   | 6.3    Mbps | 0%
144.0.23.162:8085         | 8                    | 6.3    Mbps | 0%
144.0.23.230:8085         | 8                    | 6.28   Mbps | 0%
144.0.23.230:8085         | 7                    | 6.23   Mbps | 0%
144.0.23.230:8085         | 12                   | 6.57   Mbps | 0%
144.0.23.4:8085           | 22                   | 7.76   Mbps | 48%
144.0.23.4:8085           | 11                   | 1.71   Mbps | 89%
144.0.23.4:8085           | 4                    | 7.33   Mbps | 38%
144.0.23.80:8085          | 12                   | 2.04   Mbps | 100%
144.0.23.80:8085          | 4                    | 1.24   Mbps | 100%
144.0.23.80:8085          | 3                    | 0.41   Mbps | 18%
144.123.165.186:9901      | 四川卫视                 | 0.46   Mbps | 100%
144.123.165.186:9901      | 江苏卫视                 | 0.77   Mbps | 100%
144.123.165.186:9901      | 宁夏卫视                 | 0.31   Mbps | 100%
144.52.161.141:9901       | CCTV11戏曲             | 0.34   Mbps | 100%
144.52.161.141:9901       | CCTV3综艺              | 0.18   Mbps | 100%
144.52.161.141:9901       | 金鹰卡通                 | 0.3    Mbps | 100%
153.0.171.163:9901        | CCTV3                | 1.16   Mbps | 0%
